city,lat,lon,no2,Year
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,8.16,2017
Lethbridge                                                                                          ,49.71621,-112.8006,5.28,2017
Medicine Hat                                                                                        ,50.04893,-110.68116,5.78,2017
Red Deer                                                                                            ,52.24095,-113.765439,7.73,2017
Red Deer                                                                                            ,52.29867,-113.79352,9.29,2017
Airdrie                                                                                             ,51.268078,-114.037794,,2017
Calgary                                                                                             ,51.0309,-114.0091,14.94,2017
Calgary                                                                                             ,50.955122,-113.969742,12.78,2017
Calgary                                                                                             ,51.079222,-114.141828,10.03,2017
St. Albert                                                                                          ,53.626908,-113.611883,10.13,2017
Ardrossan                                                                                           ,53.554691,-113.144905,6.82,2017
Sherwood Park                                                                                       ,53.532092,-113.320983,10.23,2017
Edmonton                                                                                            ,53.564411,-113.562583,13.57,2017
Edmonton                                                                                            ,53.54445,-113.49884,15.73,2017
Edmonton                                                                                            ,53.54823,-113.36811,13.59,2017
Edmonton                                                                                            ,53.50022,-113.526056,10.77,2017
Buffalo Narrows                                                                                     ,55.834566,-108.403332,0.74,2017
Swift Current                                                                                       ,50.285833,-107.81689,7.11,2017
Estevan                                                                                             ,49.13235,-102.98499,,2017
Prince Albert                                                                                       ,53.201694,-105.75203,5.75,2017
Saskatoon                                                                                           ,52.13613,-106.66293,8.67,2017
Regina                                                                                              ,50.4527,-104.616,8.44,2017
Brandon                                                                                             ,49.83918,-99.9206,5.26,2017
Winnipeg                                                                                            ,49.89799,-97.14653,7.47,2017
Winnipeg                                                                                            ,49.93207,-97.11317,1.79,2017
Chatham                                                                                             ,42.40369,-82.20831,6.04,2017
Belleville                                                                                          ,44.15053,-77.3955,4.29,2017
Port Stanley                                                                                        ,42.67208,-81.16289,2.68,2017
Parry Sound                                                                                         ,45.33786,-80.03817,2.66,2017
Newmarket                                                                                           ,44.04431,-79.48325,6.29,2017
Barrie                                                                                              ,44.382314,-79.702431,7.29,2017
Grand Bend                                                                                          ,43.333186,-81.742822,3.02,2017
Burlington                                                                                          ,43.314575,-79.802756,9.72,2017
Simcoe                                                                                              ,42.85685,-80.26964,3.32,2017
North Bay                                                                                           ,46.32323,-79.44928,4.58,2017
Guelph                                                                                              ,43.551636,-80.264156,5.86,2017
Oshawa                                                                                              ,43.94594,-78.89492,6.41,2017
Oakville                                                                                            ,43.48692,-79.70228,8.17,2017
Kitchener                                                                                           ,43.44383,-80.50381,5.84,2017
Brantford                                                                                           ,43.13861,-80.29264,4.42,2017
St. Catharines                                                                                      ,43.16006,-79.23475,6.64,2017
Cornwall                                                                                            ,45.017981,-74.735314,4.99,2017
Peterborough                                                                                        ,44.301833,-78.346386,4.67,2017
Sarnia                                                                                              ,42.990263,-82.395341,7.31,2017
Sarnia                                                                                              ,42.912545,-82.416816,,2017
London                                                                                              ,42.97446,-81.20086,5.75,2017
Thunder Bay                                                                                         ,48.37939,-89.29017,6.74,2017
Sault Ste. Marie                                                                                    ,46.53319,-84.30992,4.4,2017
Sudbury                                                                                             ,46.49194,-81.00311,6.83,2017
Hamilton                                                                                            ,43.25744,-79.90775,10.37,2017
Hamilton                                                                                            ,43.22942,-79.86278,7.82,2017
Hamilton                                                                                            ,43.25778,-79.86167,11.9,2017
Brampton                                                                                            ,43.669567,-79.76567,8.19,2017
Toronto                                                                                             ,43.78042,-79.46752,10.51,2017
Toronto                                                                                             ,43.711106,-79.543425,18.84,2017
Toronto                                                                                             ,43.610761,-79.52194,15.48,2017
Mississauga                                                                                         ,43.54697,-79.65869,7.97,2017
Toronto                                                                                             ,43.66417,-79.38722,12.98,2017
Toronto                                                                                             ,43.709444,-79.5435,14.93,2017
Toronto                                                                                             ,43.74792,-79.27406,11.45,2017
Kingston                                                                                            ,44.21987,-76.52113,4.37,2017
Windsor                                                                                             ,42.292889,-83.073139,9.89,2017
Windsor                                                                                             ,42.315778,-83.043667,11.02,2017
Ottawa                                                                                              ,45.38287,-75.71387,5.25,2017
Ottawa                                                                                              ,45.43433,-75.676,7.08,2017
Lévis                                                                                               ,46.806029,-71.167506,5.19,2017
Saint-Jean-Sur-Richelieu                                                                            ,45.29413,-73.34857,2.76,2017
L'assomption                                                                                        ,45.80942,-73.43473,,2017
Saint-Anicet                                                                                        ,45.120624,-74.2896,2.32,2017
Quebec                                                                                              ,46.821177,-71.220495,8.83,2017
Gatineau                                                                                            ,45.435987,-75.723429,5.49,2017
Montreal                                                                                            ,45.464611,-73.582583,11.61,2017
Terrebonne                                                                                          ,45.70476,-73.65776,4.8,2017
Montreal                                                                                            ,45.512189,-73.566842,11.11,2017
Montreal                                                                                            ,45.5934,-73.63726,8.57,2017
Montreal                                                                                            ,45.54271,-73.57176,9.85,2017
Montreal                                                                                            ,45.60176,-73.541992,8.77,2017
Montreal                                                                                            ,45.651691,-73.573825,6.45,2017
Montreal                                                                                            ,45.468322,-73.741198,9.22,2017
Montreal                                                                                            ,45.426542,-73.928929,,2017
Brossard                                                                                            ,45.448663,-73.480819,5.81,2017
Longueuil                                                                                           ,45.52207,-73.4881,7.52,2017
Laval                                                                                               ,45.547463,-73.748317,6.85,2017
Montreal                                                                                            ,45.502648,-73.663913,13.62,2017
Montreal                                                                                            ,45.641026,-73.499682,8.52,2017
Edmundston                                                                                          ,47.363195,-68.322302,,2017
Bathurst                                                                                            ,47.609693,-65.633509,1.68,2017
Moncton                                                                                             ,46.101578,-64.789661,3.83,2017
Saint John                                                                                          ,45.28028,-66.05611,4.47,2017
Saint John                                                                                          ,45.252898,-66.080065,3.32,2017
Saint John                                                                                          ,45.308762,-66.008384,3.06,2017
Fredericton                                                                                         ,45.957289,-66.645236,,2017
Fredericton                                                                                         ,45.957318,-66.646719,,2017
Kentville                                                                                           ,45.06725,-64.47743,0.93,2017
Pictou                                                                                              ,45.68167,-62.69664,0.89,2017
Aylesford                                                                                           ,45.07267,-64.84033,,2017
Sydney                                                                                              ,46.14222,-60.17252,2.62,2017
Port Hawkesbury                                                                                     ,45.614161,-61.362356,2.34,2017
Halifax                                                                                             ,44.719799,-63.480754,1.03,2017
Halifax                                                                                             ,44.646425,-63.573383,7.06,2017
Halifax                                                                                             ,44.64711,-63.57366,,2017
Southampton                                                                                         ,46.38635,-62.58272,0.33,2017
Wellington                                                                                          ,46.47843,-63.98763,0.5,2017
Charlottetown                                                                                       ,46.233,-63.13667,1.81,2017
Labrador City                                                                                       ,52.945487,-66.910306,2.96,2017
Burin                                                                                               ,47.09899,-55.19852,,2017
Corner Brook                                                                                        ,48.95224,-57.92207,2.5,2017
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,0.92,2017
Mount Pearl                                                                                         ,47.50513,-52.79476,1.57,2017
St. John's                                                                                          ,47.56038,-52.71147,6.89,2017
Anzac                                                                                               ,56.44928,-111.03722,2.2,2018
Mount Pearl                                                                                         ,47.50513,-52.79476,1.55,2018
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,0.94,2018
Corner Brook                                                                                        ,48.95224,-57.92207,2.71,2018
Burin                                                                                               ,47.09899,-55.19852,,2018
Labrador City                                                                                       ,52.945487,-66.910306,2.52,2018
Charlottetown                                                                                       ,46.233,-63.13667,1.85,2018
Wellington                                                                                          ,46.47843,-63.98763,0.49,2018
Southampton                                                                                         ,46.38635,-62.58272,,2018
Halifax                                                                                             ,44.64711,-63.57366,5.55,2018
Halifax                                                                                             ,44.646425,-63.573383,,2018
Halifax                                                                                             ,44.719799,-63.480754,1.19,2018
Port Hawkesbury                                                                                     ,45.614161,-61.362356,2.49,2018
Quebec                                                                                              ,46.794873,-71.246387,,2018
Sydney                                                                                              ,46.14222,-60.17252,2.6,2018
Pictou                                                                                              ,45.68167,-62.69664,1.15,2018
Kentville                                                                                           ,45.06725,-64.47743,0.84,2018
Fredericton                                                                                         ,45.957289,-66.645236,1.82,2018
Saint John                                                                                          ,45.308762,-66.008384,2.39,2018
Saint John                                                                                          ,45.252898,-66.080065,2.74,2018
Saint John                                                                                          ,45.28028,-66.05611,3.93,2018
Moncton                                                                                             ,46.101578,-64.789661,3.38,2018
Bathurst                                                                                            ,47.609693,-65.633509,1.22,2018
Edmundston                                                                                          ,47.363195,-68.322302,4.52,2018
Montreal                                                                                            ,45.641026,-73.499682,8.71,2018
Montreal                                                                                            ,45.502648,-73.663913,13.82,2018
Laval                                                                                               ,45.547463,-73.748317,7.57,2018
Longueuil                                                                                           ,45.52207,-73.4881,7.74,2018
Brossard                                                                                            ,45.448663,-73.480819,6.05,2018
Montreal                                                                                            ,45.426542,-73.928929,,2018
Montreal                                                                                            ,45.468322,-73.741198,9.58,2018
Montreal                                                                                            ,45.651691,-73.573825,6.61,2018
Montreal                                                                                            ,45.60176,-73.541992,8.86,2018
Montreal                                                                                            ,45.54271,-73.57176,10.38,2018
Montreal                                                                                            ,45.5934,-73.63726,9.31,2018
Montreal                                                                                            ,45.512189,-73.566842,11.36,2018
Terrebonne                                                                                          ,45.70476,-73.65776,5.13,2018
Montreal                                                                                            ,45.464611,-73.582583,10.62,2018
Gatineau                                                                                            ,45.435987,-75.723429,5.54,2018
Quebec                                                                                              ,46.821177,-71.220495,8.73,2018
Quebec                                                                                              ,46.774167,-71.369722,,2018
Saint-Anicet                                                                                        ,45.120624,-74.2896,2.53,2018
Saint-Jean-Sur-Richelieu                                                                            ,45.29413,-73.34857,3.1,2018
Lévis                                                                                               ,46.806029,-71.167506,5.31,2018
Ottawa                                                                                              ,45.43433,-75.676,7.26,2018
Windsor                                                                                             ,42.315778,-83.043667,11.01,2018
Windsor                                                                                             ,42.292889,-83.073139,8.76,2018
Kingston                                                                                            ,44.21987,-76.52113,4.21,2018
Toronto                                                                                             ,43.74792,-79.27406,10.55,2018
Toronto                                                                                             ,43.709444,-79.5435,14.42,2018
Toronto                                                                                             ,43.66417,-79.38722,11.75,2018
Mississauga                                                                                         ,43.54697,-79.65869,7.25,2018
Toronto                                                                                             ,43.610761,-79.52194,14.75,2018
Toronto                                                                                             ,43.711106,-79.543425,18.53,2018
Toronto                                                                                             ,43.78042,-79.46752,10.38,2018
Brampton                                                                                            ,43.669567,-79.76567,8.12,2018
Hamilton                                                                                            ,43.25778,-79.86167,11.63,2018
Hamilton                                                                                            ,43.22942,-79.86278,7.75,2018
Hamilton                                                                                            ,43.25744,-79.90775,11.01,2018
Sudbury                                                                                             ,46.49194,-81.00311,6.47,2018
Sault Ste. Marie                                                                                    ,46.53319,-84.30992,4.38,2018
Thunder Bay                                                                                         ,48.37939,-89.29017,7.48,2018
London                                                                                              ,42.97446,-81.20086,5.41,2018
Sarnia                                                                                              ,42.912545,-82.416816,5.9,2018
Sarnia                                                                                              ,42.990263,-82.395341,7.57,2018
Peterborough                                                                                        ,44.301833,-78.346386,4.47,2018
Cornwall                                                                                            ,45.017981,-74.735314,5.05,2018
St. Catharines                                                                                      ,43.16006,-79.23475,5.99,2018
Brantford                                                                                           ,43.13861,-80.29264,5.17,2018
Kitchener                                                                                           ,43.44383,-80.50381,5.83,2018
Oakville                                                                                            ,43.48692,-79.70228,8.51,2018
Oshawa                                                                                              ,43.95222,-78.9125,3.8,2018
Guelph                                                                                              ,43.551636,-80.264156,5.86,2018
North Bay                                                                                           ,46.32323,-79.44928,4.94,2018
Simcoe                                                                                              ,42.85685,-80.26964,2.96,2018
Burlington                                                                                          ,43.314575,-79.802756,9.37,2018
Grand Bend                                                                                          ,43.333186,-81.742822,3.25,2018
Barrie                                                                                              ,44.382314,-79.702431,6.39,2018
Newmarket                                                                                           ,44.04431,-79.48325,6.1,2018
Parry Sound                                                                                         ,45.33786,-80.03817,2.85,2018
Port Stanley                                                                                        ,42.67208,-81.16289,2.91,2018
Belleville                                                                                          ,44.15053,-77.3955,3.74,2018
Chatham                                                                                             ,42.40369,-82.20831,5.07,2018
Winnipeg                                                                                            ,49.93207,-97.11317,3.5,2018
Winnipeg                                                                                            ,49.89799,-97.14653,8.58,2018
Brandon                                                                                             ,49.83918,-99.9206,7.22,2018
Regina                                                                                              ,50.4527,-104.616,9.17,2018
Saskatoon                                                                                           ,52.13613,-106.66293,9.08,2018
Prince Albert                                                                                       ,53.201694,-105.75203,6.18,2018
Estevan                                                                                             ,49.13235,-102.98499,5.04,2018
Swift Current                                                                                       ,50.285833,-107.81689,6.97,2018
Buffalo Narrows                                                                                     ,55.834566,-108.403332,0.93,2018
Edmonton                                                                                            ,53.50022,-113.526056,10.83,2018
Edmonton                                                                                            ,53.54823,-113.36811,13.2,2018
Edmonton                                                                                            ,53.54445,-113.49884,16.03,2018
Edmonton                                                                                            ,53.564411,-113.562583,13.26,2018
Sherwood Park                                                                                       ,53.532092,-113.320983,10.3,2018
Ardrossan                                                                                           ,53.554691,-113.144905,,2018
St. Albert                                                                                          ,53.626908,-113.611883,10.77,2018
Calgary                                                                                             ,51.079222,-114.141828,,2018
Calgary                                                                                             ,50.955122,-113.969742,14.7,2018
Calgary                                                                                             ,51.0309,-114.0091,16.96,2018
Calgary                                                                                             ,51.082655,-114.138827,,2018
Airdrie                                                                                             ,51.268078,-114.037794,6.7,2018
Red Deer                                                                                            ,52.29867,-113.79352,10.31,2018
Red Deer                                                                                            ,52.24095,-113.765439,9.29,2018
Medicine Hat                                                                                        ,50.04893,-110.68116,7.22,2018
Lethbridge                                                                                          ,49.71621,-112.8006,5.66,2018
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,9.39,2018
Fort Saskatchewan                                                                                   ,53.75236,-113.12589,7.98,2018
Fort Saskatchewan                                                                                   ,53.71622,-113.19994,8.14,2018
Gibbons                                                                                             ,53.827241,-113.327174,7.66,2018
Redwater                                                                                            ,53.95183,-113.105857,6.21,2018
Bruderheim                                                                                          ,53.805629,-112.925851,6.39,2018
Fort Mcmurray                                                                                       ,56.73341,-111.39047,7.43,2018
Fort Mcmurray                                                                                       ,56.75139,-111.47662,5.16,2018
Fort Mackay                                                                                         ,57.18941,-111.6405,7.47,2018
Fort Mackay                                                                                         ,56.99647,-111.59295,5.51,2018
Fort Mackay                                                                                         ,57.1492,-111.6424,7.25,2018
Wapasu                                                                                              ,57.26176,-111.037,3.04,2018
Conklin                                                                                             ,55.621408,-111.17269,1.46,2018
Elk Island                                                                                          ,53.68238,-112.86812,3.99,2018
Tomahawk                                                                                            ,53.37255,-114.76835,4.29,2018
Violet Grove                                                                                        ,53.14222,-115.13806,4.15,2018
Beaverlodge                                                                                         ,55.19634,-119.39682,4.22,2018
Carrot Creek                                                                                        ,53.621062,-115.869155,5.09,2018
Steeper                                                                                             ,53.1325,-117.09111,2.31,2018
Fort Chipewyan                                                                                      ,58.70879,-111.17683,1.46,2018
Caroline                                                                                            ,51.94687,-114.69744,2.58,2018
Grande Prairie                                                                                      ,55.1766,-118.8078,11.85,2018
Lamont                                                                                              ,53.76036,-112.88017,4.53,2018
Bretton                                                                                             ,53.0903,-114.46061,3.57,2018
Edson                                                                                               ,53.593771,-116.395822,8.13,2018
Genesee                                                                                             ,53.3016,-114.2211,5.42,2018
Hinton                                                                                              ,53.427301,-117.544067,7.59,2018
Warburg                                                                                             ,53.53,-114.6361,5.89,2018
Thorsby                                                                                             ,53.633,-114.4199,2.87,2018
Sunnybrook                                                                                          ,53.4243,-114.3749,5.33,2018
Cold Lake                                                                                           ,54.414014,-110.232939,3.73,2018
St Lina                                                                                             ,54.2165,-111.5026,1.77,2018
St. John's                                                                                          ,47.56038,-52.71147,5.34,2018
Metro Van - New Westminster                                                                         ,49.227045,-122.894487,16.54,2018
Metro Van - Burnaby                                                                                 ,49.279214,-122.970707,11.42,2018
Metro Van - Port Moody                                                                              ,49.280893,-122.849291,11.8,2018
Metro Van - Vancouver                                                                               ,49.282272,-123.12188,17.34,2018
Metro Van - Burnaby                                                                                 ,49.21519,-122.985666,12.55,2018
Metro Van - North Vancouver                                                                         ,49.301472,-123.020417,12.52,2018
Metro Van - Delta                                                                                   ,49.158348,-122.90173,12.92,2018
Metro Van - Burnaby                                                                                 ,49.279809,-122.922267,7.44,2018
Metro Van - Surrey                                                                                  ,49.132928,-122.694224,9.07,2018
Metro Van - Richmond                                                                                ,49.141437,-123.108215,11.18,2018
Metro Van - North Vancouver                                                                         ,49.323994,-123.083496,11.31,2018
Metro Van - Richmond                                                                                ,49.186265,-123.152422,13.97,2018
Metro Van - Coquitlam                                                                               ,49.288265,-122.79157,9.42,2018
Metro Van - Delta                                                                                   ,49.009877,-123.081997,6.66,2018
Metro Van - Vancouver                                                                               ,49.260267,-123.077776,19.22,2018
Agassiz                                                                                             ,49.238008,-121.762264,8.13,2018
Prince George                                                                                       ,53.91472,-122.74194,10.37,2018
Victoria                                                                                            ,48.441942,-123.363165,8.26,2018
Victoria                                                                                            ,48.42369,-123.49432,4.71,2018
Kamloops                                                                                            ,50.67477,-120.334016,11.79,2018
Kelowna                                                                                             ,49.862336,-119.477367,7.15,2018
Metro Van - Abbotsford                                                                              ,49.04258,-122.30982,8.87,2018
Metro Van - Abbotsford                                                                              ,49.021554,-122.326523,7.51,2018
Metro Van-Chilliwack                                                                                ,49.155848,-121.940279,8.32,2018
Metro Van-Pitt Meadows                                                                              ,49.245233,-122.70889,8.64,2018
Metro Van-Langley                                                                                   ,49.09561,-122.567104,5.72,2018
Metro Van-Hope                                                                                      ,49.369887,-121.49912,4.35,2018
Metro Van - Maple Ridge                                                                             ,49.21494,-122.582057,7.83,2018
Squamish                                                                                            ,49.70516,-123.15133,6.21,2018
Quesnel                                                                                             ,52.981686,-122.493227,8.73,2018
Nanaimo                                                                                             ,49.20083,-123.99389,6.13,2018
Powell River                                                                                        ,49.866905,-124.521819,,2018
Smithers                                                                                            ,54.783308,-127.177324,5.68,2018
Terrace                                                                                             ,54.52167,-128.6075,3.04,2018
Williams Lake                                                                                       ,52.14428,-122.150391,7.01,2018
Castlegar                                                                                           ,49.317698,-117.661527,6.38,2018
Mission                                                                                             ,49.14149,-122.311078,7.02,2018
Vernon                                                                                              ,50.260617,-119.270723,9.83,2018
Taylor                                                                                              ,56.150186,-120.686985,7.29,2018
Duncan                                                                                              ,48.784854,-123.715846,,2018
Duncan                                                                                              ,48.786114,-123.717307,4.29,2018
Whistler                                                                                            ,50.144285,-122.960402,4.16,2018
Longdale                                                                                            ,49.438848,-123.479185,4.32,2018
Fort Saint John                                                                                     ,56.24473,-120.8561,7.06,2018
Courtenay                                                                                           ,49.682603,-124.996222,3.86,2018
Whitehorse                                                                                          ,60.71972,-135.05875,5.75,2018
Yellowknife                                                                                         ,62.45207,-114.364,2.92,2018
Norman Wells                                                                                        ,65.27926,-126.813057,2.38,2018
Inuvik                                                                                              ,68.35702,-133.714057,1.83,2018
Iqaluit                                                                                             ,63.751619,-68.522433,5.74,2018
Fort Smith                                                                                          ,60.00455,-111.893241,1.89,2018
Buffalo Narrows                                                                                     ,55.834566,-108.403332,,2019
Sunnybrook                                                                                          ,53.4243,-114.3749,3.91,2019
St. John's                                                                                          ,47.56038,-52.71147,3.97,2019
Mount Pearl                                                                                         ,47.50513,-52.79476,1.22,2019
Grand Falls-Windsor                                                                                 ,48.92696,-55.65966,1.57,2019
Corner Brook                                                                                        ,48.95224,-57.92207,3.05,2019
Burin                                                                                               ,47.09899,-55.19852,0.52,2019
Labrador City                                                                                       ,52.945487,-66.910306,2.46,2019
Charlottetown                                                                                       ,46.233,-63.13667,2.27,2019
Wellington                                                                                          ,46.47843,-63.98763,0.65,2019
Southampton                                                                                         ,46.38635,-62.58272,0.44,2019
Halifax                                                                                             ,44.64711,-63.57366,5.21,2019
Halifax                                                                                             ,44.719799,-63.480754,3.61,2019
Port Hawkesbury                                                                                     ,45.614161,-61.362356,2.76,2019
Sydney                                                                                              ,46.14222,-60.17252,2.67,2019
Pictou                                                                                              ,45.68167,-62.69664,1.23,2019
Kentville                                                                                           ,45.06725,-64.47743,0.89,2019
Fredericton                                                                                         ,45.957289,-66.645236,2.48,2019
Saint John                                                                                          ,45.308762,-66.008384,2.88,2019
Saint John                                                                                          ,45.252898,-66.080065,3.6,2019
Saint John                                                                                          ,45.28028,-66.05611,3.93,2019
Moncton                                                                                             ,46.101578,-64.789661,3.66,2019
St Andrews                                                                                          ,45.086912,-67.074036,,2019
Bathurst                                                                                            ,47.609693,-65.633509,1.13,2019
Edmundston                                                                                          ,47.363195,-68.322302,4.51,2019
Montreal                                                                                            ,45.641026,-73.499682,8.22,2019
Montreal                                                                                            ,45.502648,-73.663913,13.02,2019
Laval                                                                                               ,45.547463,-73.748317,6.79,2019
Longueuil                                                                                           ,45.52207,-73.4881,7.44,2019
Brossard                                                                                            ,45.448663,-73.480819,5.42,2019
Montreal                                                                                            ,45.426542,-73.928929,5,2019
Montreal                                                                                            ,45.468322,-73.741198,9.39,2019
Montreal                                                                                            ,45.651691,-73.573825,5.86,2019
Montreal                                                                                            ,45.54271,-73.57176,9.22,2019
Montreal                                                                                            ,45.5934,-73.63726,9.09,2019
Montreal                                                                                            ,45.512189,-73.566842,11.16,2019
Terrebonne                                                                                          ,45.70476,-73.65776,4.82,2019
Montreal                                                                                            ,45.464611,-73.582583,10.56,2019
Gatineau                                                                                            ,45.435987,-75.723429,5.33,2019
Quebec                                                                                              ,46.821177,-71.220495,8.36,2019
Quebec                                                                                              ,46.794873,-71.246387,5.7,2019
Quebec                                                                                              ,46.774167,-71.369722,5.03,2019
Saint-Anicet                                                                                        ,45.120624,-74.2896,2.57,2019
Saint-Jean-Sur-Richelieu                                                                            ,45.29413,-73.34857,3.13,2019
Lévis                                                                                               ,46.806029,-71.167506,4.81,2019
Ottawa                                                                                              ,45.43433,-75.676,6.71,2019
Windsor                                                                                             ,42.315778,-83.043667,10.98,2019
Windsor                                                                                             ,42.292889,-83.073139,9.97,2019
Kingston                                                                                            ,44.21987,-76.52113,4.01,2019
Toronto                                                                                             ,43.74792,-79.27406,10.25,2019
Toronto                                                                                             ,43.709444,-79.5435,14.55,2019
Toronto                                                                                             ,43.66417,-79.38722,,2019
Mississauga                                                                                         ,43.54697,-79.65869,8.39,2019
Toronto                                                                                             ,43.610761,-79.52194,14.74,2019
Toronto                                                                                             ,43.711106,-79.543425,18.58,2019
Toronto                                                                                             ,43.659018,-79.395385,,2019
Toronto                                                                                             ,43.78042,-79.46752,10.68,2019
Toronto                                                                                             ,43.64543,-79.38908,,2019
Brampton                                                                                            ,43.669567,-79.76567,8.59,2019
Hamilton                                                                                            ,43.25778,-79.86167,12.49,2019
Hamilton                                                                                            ,43.25744,-79.90775,11.28,2019
Hamilton                                                                                            ,43.24132,-79.88941,8.82,2019
Sudbury                                                                                             ,46.49194,-81.00311,6.85,2019
Sault Ste. Marie                                                                                    ,46.53319,-84.30992,4.49,2019
Thunder Bay                                                                                         ,48.37939,-89.29017,6.65,2019
London                                                                                              ,42.97446,-81.20086,5.76,2019
Sarnia                                                                                              ,42.912545,-82.416816,5.57,2019
Sarnia                                                                                              ,42.990263,-82.395341,6.77,2019
Peterborough                                                                                        ,44.301833,-78.346386,3.9,2019
Cornwall                                                                                            ,45.017981,-74.735314,5.02,2019
St. Catharines                                                                                      ,43.16006,-79.23475,5.97,2019
Brantford                                                                                           ,43.13861,-80.29264,5.57,2019
Kitchener                                                                                           ,43.44383,-80.50381,6.25,2019
Oakville                                                                                            ,43.48692,-79.70228,9.11,2019
Oshawa                                                                                              ,43.95222,-78.9125,3.5,2019
Guelph                                                                                              ,43.551636,-80.264156,5.43,2019
North Bay                                                                                           ,46.32323,-79.44928,5.12,2019
Simcoe                                                                                              ,42.85685,-80.26964,3.03,2019
Burlington                                                                                          ,43.314575,-79.802756,9.61,2019
Grand Bend                                                                                          ,43.333186,-81.742822,2.48,2019
Barrie                                                                                              ,44.382314,-79.702431,6.35,2019
Newmarket                                                                                           ,44.04431,-79.48325,5.47,2019
Parry Sound                                                                                         ,45.33786,-80.03817,2.63,2019
Port Stanley                                                                                        ,42.67208,-81.16289,3.02,2019
Belleville                                                                                          ,44.15053,-77.3955,4.24,2019
Chatham                                                                                             ,42.40369,-82.20831,5.84,2019
Milton                                                                                              ,43.52965,-79.862449,8.86,2019
Winnipeg                                                                                            ,49.93207,-97.11317,3.33,2019
Winnipeg                                                                                            ,49.89799,-97.14653,9.78,2019
Brandon                                                                                             ,49.83918,-99.9206,4.4,2019
Flin Flon                                                                                           ,54.76852,-101.87747,,2019
Regina                                                                                              ,50.4527,-104.616,8.82,2019
Saskatoon                                                                                           ,52.13613,-106.66293,8.1,2019
Prince Albert                                                                                       ,53.201694,-105.75203,5.84,2019
Estevan                                                                                             ,49.13235,-102.98499,5.04,2019
Swift Current                                                                                       ,50.285833,-107.81689,7.08,2019
Edmonton                                                                                            ,53.50022,-113.526056,10.54,2019
Edmonton                                                                                            ,53.54823,-113.36811,12.08,2019
Edmonton                                                                                            ,53.54445,-113.49884,14.96,2019
Edmonton                                                                                            ,53.564411,-113.562583,12.38,2019
Sherwood Park                                                                                       ,53.532092,-113.320983,10.07,2019
Ardrossan                                                                                           ,53.554691,-113.144905,7.11,2019
St. Albert                                                                                          ,53.626908,-113.611883,10.21,2019
Calgary                                                                                             ,50.955122,-113.969742,13.1,2019
Calgary                                                                                             ,51.0309,-114.0091,15.42,2019
Calgary                                                                                             ,51.082655,-114.138827,9.94,2019
Airdrie                                                                                             ,51.268078,-114.037794,6.44,2019
Red Deer                                                                                            ,52.29867,-113.79352,9.88,2019
Red Deer                                                                                            ,52.24095,-113.765439,8.79,2019
Medicine Hat                                                                                        ,50.04893,-110.68116,6.73,2019
Lethbridge                                                                                          ,49.71621,-112.8006,5.39,2019
Fort Saskatchewan                                                                                   ,53.69874,-113.22285,7.99,2019
Fort Saskatchewan                                                                                   ,53.75236,-113.12589,7.19,2019
Fort Saskatchewan                                                                                   ,53.71622,-113.19994,7.36,2019
Gibbons                                                                                             ,53.827241,-113.327174,6.9,2019
Redwater                                                                                            ,53.95183,-113.105857,5.32,2019
Bruderheim                                                                                          ,53.805629,-112.925851,5.69,2019
Fort Mcmurray                                                                                       ,56.73341,-111.39047,7.68,2019
Fort Mcmurray                                                                                       ,56.75139,-111.47662,5.4,2019
Fort Mackay                                                                                         ,57.18941,-111.6405,8.29,2019
Fort Mackay                                                                                         ,56.99647,-111.59295,5.16,2019
Fort Mackay                                                                                         ,57.1492,-111.6424,7.34,2019
Wapasu                                                                                              ,57.26176,-111.037,2.62,2019
Conklin                                                                                             ,55.621408,-111.17269,1.3,2019
Elk Island                                                                                          ,53.68238,-112.86812,3.43,2019
Tomahawk                                                                                            ,53.37255,-114.76835,3.92,2019
Violet Grove                                                                                        ,53.14222,-115.13806,4.31,2019
Beaverlodge                                                                                         ,55.19634,-119.39682,4.62,2019
Carrot Creek                                                                                        ,53.621062,-115.869155,4.65,2019
Steeper                                                                                             ,53.1325,-117.09111,2.07,2019
Fort Chipewyan                                                                                      ,58.70879,-111.17683,2.03,2019
Caroline                                                                                            ,51.94687,-114.69744,2.52,2019
Grande Prairie                                                                                      ,55.1766,-118.8078,10.95,2019
Lamont                                                                                              ,53.76036,-112.88017,4.12,2019
Bretton                                                                                             ,53.0903,-114.46061,4.14,2019
Edson                                                                                               ,53.593771,-116.395822,8.11,2019
Genesee                                                                                             ,53.3016,-114.2211,6.82,2019
Hinton                                                                                              ,53.427301,-117.544067,6.97,2019
Warburg                                                                                             ,53.53,-114.6361,3.61,2019
Thorsby                                                                                             ,53.633,-114.4199,2.12,2019
Cold Lake                                                                                           ,54.414014,-110.232939,3.48,2019
St Lina                                                                                             ,54.2165,-111.5026,2.09,2019
Anzac                                                                                               ,56.44928,-111.03722,2.25,2019
Metro Van - New Westminster                                                                         ,49.227045,-122.894487,15.95,2019
Metro Van - Burnaby                                                                                 ,49.279214,-122.970707,10.14,2019
Metro Van - Port Moody                                                                              ,49.280893,-122.849291,11.09,2019
